director,d_score
Clark Gregg,2.99353376809992
Clark Johnson,23.350059253178
Clint Eastwood,167.085405568563
Colin Trevorrow,69.1061774571372
Conrad Vernon,94.6673545130636
Corey Yuen Kwai,50.2261713378995
Courtney Solomon,5.85790804044295
Craig Brewer,10.976856120521
Craig Gillespie,17.2394115491336
Craig Mazin,7.80921852547806
Craig McCracken,1.16388907631064
Cristian Mungiu,3.90031935500759
Curtis Hanson,66.7908179808628
D.J. Caruso,55.2438741470484
Daisy von Scherler Mayer,0.215262725166305
Damien Chazelle,48.094500450118
Damien O'Donnell,1.75595865851086
Dan Bradley,10.0455715400264
Dan Gilroy,46.0069261400962
Dan Rush,5.20286488579171
Dan Scanlon,52.1019480692056
Dana Adam Shapiro,0.522821576763485
Daniel Alfredson,19.8469443269056
Daniel Barnz,18.139528011977
Daniel Espinosa,20.5130173976399
Daniel Monz?n,6.81424167321526
Daniel Sackheim,5.90542004865981
Daniel Stamm,9.17808749516066
Daniele Luchetti,0.85807025810167
Danny Boyle,154.49053749106
Danny Cannon,16.3599671126392
Danny DeVito,40.6028716255949
Danny Leiner,30.8634378908357
Danny Pang,13.2756714933127
Darren Aronofsky,142.240426655117
Darren Lynn Bousman,58.4633439302493
Darren Stein,3.16072558531955
Dave Bullock,3.25384105228252
Dave Filoni,13.0153642091301
Dave McKean,3.13692946058091
Dave Meyers,7.02057483901366
David Ayer,46.1602086252365
David Barrett,3.38614771012126
David Bowers,12.0642100875361
David Cronenberg,38.6846672578482
David Dobkin,51.0518417685668
David Fincher,382.22034957352
David Frankel,78.2684018620382
David Gordon Green,32.4328996386088
David Hackl,22.1911959765668
David Jacobson,2.52697095435685
David Koepp,33.3250511168895
David Leitch,52.5105230290103
David Levien,2.87875912592365
David Lynch,35.1039532526941
David Mackenzie,0.81718566210611
David Mamet,2.49008810572687
David McNally,24.5474241694752
David Mich?d,5.80406219416644
David Moreton,1.07631362583153
David Nutter,3.65946632782719
David O. Russell,93.4561901241372
David Posamentier,1.25789734065417
David R. Ellis,41.9902474150591
David Raynr,1.76667067886375
David Robert Mitchell,16.3884542237415
David S. Goyer,34.3631954226779
David Schwimmer,9.05947076836196
David Siegel,2.16865548675153
David Silverman,76.9142976807497
David Slade,60.9659161451928
David Soren,19.3823584128418
David Twohy,108.566360142703
David Von Ancken,4.5770030385415
David Wain,17.4624785550072
David Winning,2.71786957378341
David Yates,339.793807526808
David Zucker,25.7106854122669
Davis Guggenheim,7.49382767784864
Dax Shepard,4.34555622798895
Dean DeBlois,47.960681584091
Dean Israelite,11.2560485327042
Dean Parisot,31.16652011663
Deb Hagan,0.845998673593456
Deborah Kaplan,7.10366993048808
Debra Granik,14.0301974448316
Declan Donnellan,1.97525283090407
Demian Lichtenstein,4.98047473983358
Denis Villeneuve,39.4315185432683
Dennie Gordon,6.97266463576701
Dennis Dugan,91.0794535330558
Dennis Gansel,19.9785840610147
Denys Arcand,1.83866773973875
Denzel Washington,5.75619721957539
Derek Cianfrance,32.0933663150066
Derrick Borte,5.08275403493925
Des McAnuff,1.76667067886375
Diane English,3.25384105228252
Dominic Sena,70.7650716672301
Dominik Moll,0.555807264990938
Don Mancini,7.90969162995595
Don Roos,4.37018536350506
Don Scardino,14.8281818906636
Donald Petrie,29.9869822671176
Doug Atchison,2.96657604349912
Doug Ellin,6.71838513204458
Doug Lefler,7.09858122611382
Doug Liman,195.503227274799
Douglas Aarniokoski,3.53334135772749
Douglas McGrath,8.86529914191885
Drake Doremus,9.70136317075092
Drew Goddard,33.6075160229535
Duncan Jones,75.6030491602668
Duncan Tucker,4.44398340248963
Dustin Hoffman,2.28564970433185
Dwight H. Little,7.43283771730102
E. Elias Merhige,4.23724704599781
Ed Gass-Donnelly,3.60538974672443
Ed Harris,8.13460263070631
Ed Solomon,0.544790441404074
Edgar Wright,90.810532181785
Eduardo S?nchez,33.0120227800042
Edward Burns,4.65312099578986
Edward Lachman,3.64685243910667
Edward Norton,5.67194270582571
Edward Zwick,105.291207817088
Eli Roth,29.1345026085976
Elizabeth Banks,21.6750523604324
Elliott Lester,13.3393743597825
Emmett Malloy,1.49414242195007
Eran Creevy,4.71682568368459
Eric Blakeney,0.836844005777564
Eric Brevig,28.0779173979426
Eric Darnell,20.4207589557262
Eric Leighton,22.5018054886856
Eric Valette,1.41478212906784
Erick Zonca,0.455537747319553
Erik Canuel,1.1018711018711
Ernest R. Dickerson,6.62065729722591
