X,TMDBID,title,releaseDate,rating,num_rating,stars,star1,star2,star3,star4,star5,director,runtime,genres,production,country,budget,revenue,date,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,ScienceFiction,Thriller,War,Western
2509,10560,Center Stage,5/12/00,7,35,"['Amanda Schull', 'Zoe Saldana', 'Susan May Pratt', 'Peter Gallagher', 'Scottie Thompson']",Amanda Schull,Zoe Saldana,Susan May Pratt,Peter Gallagher,Scottie Thompson,Nicholas Hytner,115,"['Drama', 'Music']",Columbia Pictures,United States of America,18000000,17200925,5/12/00,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2510,10688,Hamlet,5/12/00,5,16,"['Ethan Hawke', 'Kyle MacLachlan', 'Diane Venora', 'Sam Shepard', 'Julia Stiles']",Ethan Hawke,Kyle MacLachlan,Diane Venora,Sam Shepard,Julia Stiles,Michael Almereyda,112,['Drama'],Miramax Films,United States of America,2000000,1568749,5/12/00,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2521,10567,Dinosaur,5/19/00,6.2,242,"['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis', 'Max Casella', 'Hayden Panettiere']",D. B. Sweeney,Alfre Woodard,Ossie Davis,Max Casella,Hayden Panettiere,Eric Leighton,82,"['Animation', 'Family']",Walt Disney Pictures,United States of America,127500000,354248063,5/19/00,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2523,9285,Road Trip,5/19/00,5.6,234,"['Breckin Meyer', 'Seann William Scott', 'Amy Smart', 'Paulo Costanzo', 'DJ Qualls']",Breckin Meyer,Seann William Scott,Amy Smart,Paulo Costanzo,DJ Qualls,Todd Phillips,93,"['Comedy', 'Adventure']",DreamWorks SKG,United States of America,16000000,119754278,5/19/00,2000,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2526,98502,The Myth Of Fingerprints,9/17/97,2,1,"['Blythe Danner', 'James Le Gros', 'Julianne Moore', 'Roy Scheider', 'Noah Wyle']",Blythe Danner,James Le Gros,Julianne Moore,Roy Scheider,Noah Wyle,Bart Freundlich,93,"['Drama', 'Comedy']",Eureka Pictures,United States of America,2000000,458815,9/17/97,1997,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2529,955,Mission: Impossible II,5/23/00,5.8,1061,"['Tom Cruise', 'Dougray Scott', 'Thandie Newton', 'Ving Rhames', 'Richard Roxburgh']",Tom Cruise,Dougray Scott,Thandie Newton,Ving Rhames,Richard Roxburgh,John Woo,123,"['Adventure', 'Action', 'Thriller']",Paramount Pictures,Germany,125000000,546388105,5/23/00,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2530,8584,Shanghai Noon,5/26/00,6.1,319,"['Jackie Chan', 'Owen Wilson', 'Lucy Liu', 'Xander Berkeley', 'Brandon Merrill']",Jackie Chan,Owen Wilson,Lucy Liu,Xander Berkeley,Brandon Merrill,Tom Dey,110,"['Adventure', 'Action', 'Comedy', 'Western']",Spyglass Entertainment,United States of America,55000000,56932305,5/26/00,2000,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2542,9600,Big Momma's House,5/31/00,5.6,209,"['Martin Lawrence', 'Nia Long', 'Paul Giamatti', 'Jascha Washington', 'Terrence Howard']",Martin Lawrence,Nia Long,Paul Giamatti,Jascha Washington,Terrence Howard,Raja Gosnell,98,"['Crime', 'Comedy']",Twentieth Century Fox Film Corporation,Germany,30000000,173959438,5/31/00,2000,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2567,1551,Flatliners,8/9/90,6,142,"['Kiefer Sutherland', 'Julia Roberts', 'Kevin Bacon', 'William Baldwin', 'Oliver Platt']",Kiefer Sutherland,Julia Roberts,Kevin Bacon,William Baldwin,Oliver Platt,Joel Schumacher,115,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",Columbia Pictures Corporation,United States of America,26000000,61308153,8/9/90,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2576,169,Predator 2,11/20/90,5.7,306,"['Kevin Peter Hall', 'Danny Glover', 'Gary Busey', 'Rub?n Blades', 'Mar?a Conchita Alonso']",Kevin Peter Hall,Danny Glover,Gary Busey,Rub?n Blades,Mar?a Conchita Alonso,Stephen Hopkins,108,"['Science Fiction', 'Action', 'Thriller']",Twentieth Century Fox Film Corporation,United States of America,35000000,57120318,11/20/90,1990,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
